TractFIPS,StateAbbr,obesity,diabetes,hypertension,chd,physical_inactivity,burden
37071032506,NC,40.5,10.4,30.3,4.5,,-0.039834
25021418002,MA,23.6,7.6,24.2,4.4,,-0.848589
27147960800,MN,41.1,10.5,33.6,7.2,,0.366778
32003003226,NV,26.9,9.1,31.2,5.0,,-0.415806
34021000300,NJ,31.7,11.7,29.7,5.1,,-0.171491
37019020303,NC,32.8,12.6,41.4,7.9,,0.535674
48491020314,TX,34.3,6.5,24.7,3.0,,-0.741893
56021001100,WY,25.8,2.0,10.6,0.9,,-1.841858
13257970301,GA,39.8,17.1,45.2,8.4,,1.134150
25005651600,MA,32.5,10.5,30.5,6.0,,-0.093149
48027023108,TX,39.9,7.6,23.8,2.5,,-0.603476
05143010102,AR,29.7,8.0,32.0,5.3,,-0.340472
31119961200,NE,37.1,10.8,36.8,6.8,,0.314674
34039035100,NJ,31.8,10.9,29.5,4.9,,-0.238631
40143007516,OK,33.9,10.6,35.8,6.4,,0.142150
06107003300,CA,38.4,15.6,33.0,7.3,,0.556921
13137000100,GA,32.9,13.1,39.6,7.9,,0.515343
34003019204,NJ,22.8,11.5,31.1,6.4,,-0.254792
36005006000,NY,36.7,16.0,30.2,5.8,,0.289820
36019101400,NY,33.8,9.5,31.9,5.8,,-0.092605
48349970100,TX,40.0,12.8,35.0,6.5,,0.421358
48439110102,TX,38.1,14.1,35.6,7.2,,0.529476
51013103100,VA,30.4,9.5,28.3,3.5,,-0.538214
01125012404,AL,41.0,13.7,40.0,6.1,,0.592988
37119002500,NC,26.5,4.9,19.0,2.8,,-1.228229
42079214200,PA,38.2,13.2,36.9,8.8,,0.693763
51179010213,VA,37.4,7.1,28.1,2.7,,-0.560235
51810042801,VA,34.0,10.9,31.6,5.2,,-0.085512
26077002101,MI,32.1,8.3,29.8,5.6,,-0.284816
26125154100,MI,30.3,7.3,29.8,5.2,,-0.432670
27015960101,MN,35.9,9.3,29.7,5.8,,-0.104705
27053126200,MN,26.0,4.4,17.5,2.2,,-1.375759
36059406002,NY,29.1,9.5,28.9,5.2,,-0.374095
45035010501,SC,39.1,8.2,27.3,3.6,,-0.377821
48113001204,TX,40.8,14.8,30.3,5.5,,0.312212
