Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,City,City_State
37129011605,New Hanover County,North Carolina,NC,2.041,-0.729,Urban,4997,28.2,53631.0,New Hanover,"New Hanover, NC"
13067030228,Cobb County,Georgia,GA,2.032,-0.732,Urban,6394,23.5,81442.0,Cobb,"Cobb, GA"
24017850201,Charles County,Maryland,MD,2.029,-0.871,Urban,787,0.9,54811.0,Charles,"Charles, MD"
28071950201,Lafayette County,Mississippi,MS,2.029,-0.194,Urban,2942,29.1,97721.0,Oxford,"Oxford, MS"
28105950602,Oktibbeha County,Mississippi,MS,2.024,-0.178,Urban,5614,28.5,52644.0,Starkville,"Starkville, MS"
24510270903,Baltimore city,Maryland,MD,2.013,-0.671,Urban,4603,16.3,68558.0,Baltimore city,"Baltimore city, MD"
55043961000,Grant County,Wisconsin,WI,2.013,-0.974,Urban,7749,21.8,79844.0,Grant,"Grant, WI"
37067000801,Forsyth County,North Carolina,NC,2.012,-0.736,Urban,3062,80.5,11458.0,Forsyth,"Forsyth, NC"
21111005200,Jefferson County,Kentucky,KY,2.011,-0.401,Urban,3375,27.6,71087.0,Jefferson,"Jefferson, KY"
24031700818,Montgomery County,Maryland,MD,2.004,-0.851,Urban,6078,19.7,56917.0,Montgomery,"Montgomery, MD"
40119010200,Payne County,Oklahoma,OK,1.999,-0.354,Urban,5507,42.8,47284.0,Payne,"Payne, OK"
48121020800,Denton County,Texas,TX,1.997,-0.781,Urban,5082,40.2,52917.0,Denton,"Denton, TX"
51121020500,Montgomery County,Virginia,VA,1.994,-0.952,Urban,5988,34.2,125438.0,Montgomery,"Montgomery, VA"
40039960600,Custer County,Oklahoma,OK,1.989,-0.378,Urban,5377,40.8,35903.0,Custer,"Custer, OK"
18097330106,Marion County,Indiana,IN,1.974,-0.541,Urban,4509,18.1,45104.0,Indianapolis,"Indianapolis, IN"
8059011732,Jefferson County,Colorado,CO,1.973,-1.528,Urban,4331,10.8,69390.0,Jefferson,"Jefferson, CO"
24021752301,Frederick County,Maryland,MD,1.971,-0.835,Urban,4168,8.1,94844.0,Frederick,"Frederick, MD"
15003007100,Honolulu County,Hawaii,HI,1.969,-1.381,Urban,2713,3.7,73108.0,Honolulu,"Honolulu, HI"
48113014204,Dallas County,Texas,TX,1.967,-0.766,Urban,2275,37.8,29115.0,Dallas,"Dallas, TX"
1081040602,Lee County,Alabama,AL,1.966,-0.178,Urban,4152,24.2,66875.0,Auburn,"Auburn, AL"
48453001840,Travis County,Texas,TX,1.964,-0.633,Urban,9004,14.6,66050.0,Austin,"Austin, TX"
15003006804,Honolulu County,Hawaii,HI,1.958,-1.374,Urban,2835,2.1,66383.0,Honolulu,"Honolulu, HI"
48141001111,El Paso County,Texas,TX,1.955,-0.748,Urban,4811,21.6,56991.0,El Paso,"El Paso, TX"
51121020300,Montgomery County,Virginia,VA,1.953,-0.927,Urban,6576,37.4,107785.0,Montgomery,"Montgomery, VA"
6073008902,San Diego County,California,CA,1.95,-1.125,Urban,2221,5.4,68462.0,San Diego,"San Diego, CA"
45019002612,Charleston County,South Carolina,SC,1.946,-0.54,Urban,6479,14.2,59018.0,Charleston,"Charleston, SC"
26125140302,Oakland County,Michigan,MI,1.944,-0.577,Urban,3556,21.2,103750.0,Oakland,"Oakland, MI"
53053072905,Pierce County,Washington,WA,1.94,-1.204,Urban,5214,20.3,39211.0,Tacoma,"Tacoma, WA"
48491020809,Williamson County,Texas,TX,1.94,-0.604,Urban,5885,6.1,63600.0,Williamson,"Williamson, TX"
19061000701,Dubuque County,Iowa,IA,1.938,-0.827,Urban,3426,39.9,51987.0,Dubuque,"Dubuque, IA"
18105000903,Monroe County,Indiana,IN,1.938,-0.516,Urban,4819,30.0,43365.0,Bloomington,"Bloomington, IN"
4013061024,Maricopa County,Arizona,AZ,1.931,-0.927,Urban,2177,8.3,53611.0,Phoenix,"Phoenix, AZ"
48029181823,Bexar County,Texas,TX,1.926,-0.774,Urban,2495,36.5,60163.0,San Antonio,"San Antonio, TX"
41003000100,Benton County,Oregon,OR,1.924,-1.025,Urban,7059,15.3,64271.0,Benton,"Benton, OR"
36077591000,Otsego County,New York,NY,1.923,-0.883,Urban,3481,31.4,70500.0,Otsego,"Otsego, NY"
47125100100,Montgomery County,Tennessee,TN,1.921,-0.425,Urban,1303,38.0,,Montgomery,"Montgomery, TN"
55025001502,Dane County,Wisconsin,WI,1.921,-0.927,Urban,5399,10.4,64663.0,Madison,"Madison, WI"
18105000904,Monroe County,Indiana,IN,1.919,-0.505,Urban,5259,40.8,92800.0,Bloomington,"Bloomington, IN"
48479001715,Webb County,Texas,TX,1.918,-0.596,Urban,6486,12.4,54773.0,Webb,"Webb, TX"
42013100800,Blair County,Pennsylvania,PA,1.916,-0.72,Urban,1917,24.3,78438.0,Blair,"Blair, PA"
48381021802,Randall County,Texas,TX,1.909,-0.628,Urban,5426,21.1,68711.0,Randall,"Randall, TX"
13135050540,Gwinnett County,Georgia,GA,1.904,-0.63,Urban,6578,15.4,61556.0,Atlanta area,"Atlanta area, GA"
42049002800,Erie County,Pennsylvania,PA,1.904,-0.699,Urban,7462,22.2,74583.0,Erie,"Erie, PA"
29019001001,Boone County,Missouri,MO,1.901,-0.558,Urban,4656,37.8,61875.0,Boone,"Boone, MO"
51630000500,Fredericksburg city,Virginia,VA,1.899,-0.698,Urban,5845,10.8,90213.0,Fredericksburg city,"Fredericksburg city, VA"
39025041306,Clermont County,Ohio,OH,1.896,-0.284,Urban,4286,12.7,59247.0,Clermont,"Clermont, OH"
38035010400,Grand Forks County,North Dakota,ND,1.893,-0.747,Urban,6004,33.9,63750.0,Grand Forks,"Grand Forks, ND"
25017368902,Middlesex County,Massachusetts,MA,1.887,-1.162,Urban,4320,17.6,77250.0,Middlesex,"Middlesex, MA"
5007020206,Benton County,Arkansas,AR,1.884,-0.301,Urban,6189,9.3,50109.0,Benton,"Benton, AR"
5007021201,Benton County,Arkansas,AR,1.884,-0.301,Urban,4239,20.0,53600.0,Benton,"Benton, AR"
32003002956,Clark County,Nevada,NV,1.883,-0.802,Urban,2697,8.7,48972.0,Clark,"Clark, NV"
26161405100,Washtenaw County,Michigan,MI,1.881,-0.526,Urban,2225,26.4,84531.0,Ann Arbor,"Ann Arbor, MI"
1077010100,Lauderdale County,Alabama,AL,1.88,-0.128,Urban,1959,39.1,,Lauderdale,"Lauderdale, AL"
35049001204,Santa Fe County,New Mexico,NM,1.879,-0.763,Urban,5556,18.3,52845.0,Santa Fe,"Santa Fe, NM"
19113003002,Linn County,Iowa,IA,1.877,-0.771,Urban,7327,21.2,74688.0,Linn,"Linn, IA"
31109000202,Lancaster County,Nebraska,NE,1.871,-0.777,Urban,4351,24.7,42024.0,Lancaster,"Lancaster, NE"
37147001001,Pitt County,North Carolina,NC,1.869,-0.62,Urban,2240,23.7,101029.0,Pitt,"Pitt, NC"
13135050304,Gwinnett County,Georgia,GA,1.865,-0.606,Urban,5163,15.8,49261.0,Atlanta area,"Atlanta area, GA"
53053072907,Pierce County,Washington,WA,1.864,-1.159,Urban,4679,15.1,43715.0,Tacoma,"Tacoma, WA"
6001428700,Alameda County,California,CA,1.864,-1.101,Urban,4119,18.8,78906.0,Alameda,"Alameda, CA"
24033807301,Prince George's County,Maryland,MD,1.862,-0.765,Urban,3289,19.5,77000.0,Prince George's,"Prince George's, MD"
48209010304,Hays County,Texas,TX,1.861,-0.666,Urban,5233,53.2,22500.0,Hays,"Hays, TX"
48439106514,Tarrant County,Texas,TX,1.861,-0.577,Urban,4943,17.0,63375.0,Fort Worth,"Fort Worth, TX"
4013113801,Maricopa County,Arizona,AZ,1.861,-0.885,Urban,2135,29.7,42738.0,Phoenix,"Phoenix, AZ"
37063001502,Durham County,North Carolina,NC,1.859,-0.646,Urban,5986,40.6,28447.0,Durham,"Durham, NC"
1073005800,Jefferson County,Alabama,AL,1.855,-0.115,Urban,4216,26.6,44734.0,Jefferson,"Jefferson, AL"
54077963800,Preston County,West Virginia,WV,1.855,0.423,Rural,6763,20.5,66023.0,Preston,"Preston, WV"
27123033300,Ramsey County,Minnesota,MN,1.853,-1.022,Urban,3183,22.7,113625.0,Ramsey,"Ramsey, MN"
4019004411,Pima County,Arizona,AZ,1.849,-0.876,Urban,7085,22.1,94554.0,Pima,"Pima, AZ"
29037060100,Cass County,Missouri,MO,1.848,-0.519,Urban,1703,12.7,53833.0,Cass,"Cass, MO"
6075017902,San Francisco County,California,CA,1.845,-1.061,Urban,2880,48.8,56000.0,San Francisco,"San Francisco, CA"
48215024000,Hidalgo County,Texas,TX,1.842,-0.652,Urban,15955,31.0,43981.0,Hidalgo,"Hidalgo, TX"
9011870200,New London County,Connecticut,CT,1.841,-0.951,Urban,5557,8.5,56848.0,New London,"New London, CT"
20177001800,Shawnee County,Kansas,KS,1.837,-0.527,Urban,4148,22.3,56736.0,Shawnee,"Shawnee, KS"
8031980000,Denver County,Colorado,CO,1.833,-1.455,Urban,1165,7.0,62941.0,Denver,"Denver, CO"
24001001800,Allegany County,Maryland,MD,1.829,-0.758,Urban,5411,26.3,64394.0,Allegany,"Allegany, MD"
32031002614,Washoe County,Nevada,NV,1.827,-0.758,Urban,3498,7.9,51714.0,Washoe,"Washoe, NV"
5143011101,Washington County,Arkansas,AR,1.825,-0.213,Urban,6562,32.4,39583.0,Washington,"Washington, AR"
51059440202,Fairfax County,Virginia,VA,1.822,-0.873,Urban,5815,16.3,90833.0,Fairfax,"Fairfax, VA"
53037975500,Kittitas County,Washington,WA,1.822,-1.139,Urban,5753,22.6,66442.0,Kittitas,"Kittitas, WA"
20209045200,Wyandotte County,Kansas,KS,1.82,-0.505,Urban,3980,24.5,73106.0,Wyandotte,"Wyandotte, KS"
13067030411,Cobb County,Georgia,GA,1.818,-0.605,Urban,4214,31.5,42115.0,Cobb,"Cobb, GA"
48121020601,Denton County,Texas,TX,1.818,-0.673,Urban,4906,33.8,50986.0,Denton,"Denton, TX"
22061960400,Lincoln Parish,Louisiana,LA,1.815,-0.228,Urban,5234,44.7,67874.0,Lincoln Parish,"Lincoln Parish, LA"
