Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
31153010306,Sarpy County,Nebraska,NE,2.952,-1.406,Urban,1878,6.1,62179.0,31153010306,41.1249712,-95.9610156
17113000200,McLean County,Illinois,IL,2.943,-1.397,Urban,7036,90.1,,17113000200,40.5106608,-88.9939396
15003010802,Honolulu County,Hawaii,HI,2.928,-1.953,Urban,6548,3.6,75694.0,15003010802,21.4473464,-157.737
15003009507,Honolulu County,Hawaii,HI,2.927,-1.952,Urban,2560,3.8,50402.0,15003009507,21.5016642,-158.0637886
37129011903,New Hanover County,North Carolina,NC,2.911,-1.249,Urban,8514,43.4,73646.0,37129011903,34.2298675,-77.8595338
51760041200,Richmond city,Virginia,VA,2.909,-1.251,Urban,1179,31.7,76667.0,51760041200,37.5390892,-77.4512248
13059000100,Clarke County,Georgia,GA,2.909,-1.259,Urban,1596,84.9,,13059000100,33.9601681,-83.3742173
37051003408,Cumberland County,North Carolina,NC,2.906,-1.276,Urban,4725,12.2,41188.0,37051003408,35.1352263,-78.9638524
51710000901,Norfolk city,Virginia,VA,2.894,-1.262,Urban,5472,16.8,45298.0,51710000901,36.9249642,-76.2995017
39009973000,Athens County,Ohio,OH,2.894,-0.885,Urban,3614,21.1,98582.0,39009973000,39.3439197,-82.0902623
53035090300,Kitsap County,Washington,WA,2.894,-1.78,Urban,6054,11.2,55409.0,53035090300,47.7245503,-122.7160114
20161001100,Riley County,Kansas,KS,2.893,-1.164,Urban,8616,34.2,76875.0,20161001100,39.2069086,-96.593237
36045060803,Jefferson County,New York,NY,2.892,-1.474,Urban,5831,12.5,42827.0,36045060803,44.054051,-75.8006743
28071950202,Lafayette County,Mississippi,MS,2.883,-0.705,Urban,4795,27.0,76484.0,28071950202,34.3518739,-89.5219973
19169001100,Story County,Iowa,IA,2.883,-1.35,Urban,6197,51.0,105179.0,19169001100,42.0128435,-93.6441195
21047201501,Christian County,Kentucky,KY,2.883,-0.946,Urban,5315,14.4,39647.0,21047201501,36.6666769,-87.4638064
