TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
26099262100,MI,0.120994,0.063487,-0.106303,26099262100
49035112617,UT,-0.860975,-0.161528,0.270461,49035112617
53061052107,WA,-0.732615,-0.174415,0.292038,53061052107
13067031207,GA,-1.189496,-1.154801,1.933590,13067031207
36059303202,NY,-0.276188,-0.019087,0.031960,36059303202
48223950100,TX,0.519005,0.262168,-0.438973,48223950100
13113140206,GA,-0.253523,-0.236496,0.395987,13113140206
34007606200,NJ,-0.683918,-0.341555,0.571897,34007606200
06007003002,CA,0.457899,0.443599,-0.742759,06007003002
06017030808,CA,-0.629706,-0.131705,0.220526,06017030808
17073031200,IL,0.208902,0.058500,-0.097951,17073031200
20005081700,KS,-0.031491,-0.535018,0.895831,20005081700
48439102301,TX,0.179322,0.160801,-0.269244,48439102301
22051021801,LA,0.301947,-0.032716,0.054780,22051021801
33011002800,NH,-0.633939,-0.061465,0.102917,33011002800
36055002300,NY,1.217502,1.476680,-2.472542,36055002300
06009000400,CA,0.731189,0.910872,-1.525157,06009000400
29183311722,MO,-0.166722,-0.291384,0.487892,29183311722
33013040500,NH,-0.398086,-0.148129,0.248027,33013040500
34031246202,NJ,-0.738885,-0.405853,0.679557,34031246202
36005030200,NY,0.320729,0.598886,-1.002770,36005030200
39061022000,OH,0.044780,-0.301850,0.505416,39061022000
39153503600,OH,0.354830,-0.543400,0.909865,39153503600
54079020604,WV,0.485124,-0.209939,0.351521,54079020604
35001004502,NM,0.699725,0.875758,-1.466363,35001004502
39007000300,OH,0.853650,0.011868,-0.019872,39007000300
55077960300,WI,0.358154,0.311808,-0.522089,55077960300
16001010501,ID,-0.785186,-0.802764,1.344142,16001010501
22041950300,LA,1.837395,0.989979,-1.657614,22041950300
37097060602,NC,0.171061,0.209670,-0.351070,37097060602
06001407000,CA,-0.212197,0.291840,-0.488655,06001407000
29131962800,MO,0.525957,0.099846,-0.167181,29131962800
55133201600,WI,-0.228100,-0.295704,0.495124,55133201600
