TractFIPS,StateAbbr,GEOID,burden,resid,resilience_score,CensusTract,State,County,Urban,Pop2010,LILATracts_1And10,PCTGQTRS,PovertyRate
26161400500,MI,26161400500,-1.618486,-2.0828376954575676,4.147179878140297,26161400500,Michigan,Washtenaw County,1,6088,0,2.43,65.3
22033004014,LA,22033004014,-1.201309,-2.0827556298104737,4.147016475585668,22033004014,Louisiana,East Baton Rouge Parish,1,10391,1,0.0,60.1
40027201203,OK,40027201203,-1.181969,-2.0686693879199676,4.118969077051291,40027201203,Oklahoma,Cleveland County,1,5396,1,9.6,28.1
22071011900,LA,22071011900,-1.333554,-2.0632217957138757,4.108122267033069,22071011900,Louisiana,Orleans Parish,1,1741,0,0.23,28.9
19169000500,IA,19169000500,-1.59155,-2.0629965670642156,4.107673809754862,19169000500,Iowa,Story County,1,3105,1,0.0,69.9
54061010202,WV,54061010202,-0.956731,-2.0562776060096324,4.0942955517425625,54061010202,West Virginia,Monongalia County,1,3823,0,0.0,54.4
48041001701,TX,48041001701,-1.565252,-2.053625082574458,4.089014059170846,48041001701,Texas,Brazos County,1,5762,1,0.0,45.8
45019000600,SC,45019000600,-1.512338,-2.050880682987753,4.083549630152501,45019000600,South Carolina,Charleston County,1,1256,0,1.43,42.7
13059150400,GA,13059150400,-1.514189,-2.046132601844828,4.074095630631242,13059150400,Georgia,Clarke County,1,4934,1,0.0,64.6
22115950702,LA,22115950702,-1.162913,-2.0443596298104736,4.070565430481026,22115950702,Louisiana,Vernon Parish,1,3530,1,0.0,12.2
26065004402,MI,26065004402,-1.555917,-2.0202686954575677,4.022597488278011,26065004402,Michigan,Ingham County,1,1456,0,0.0,54.6
54061010600,WV,54061010600,-0.768488,-2.0198134401062298,4.021691020224066,54061010600,West Virginia,Monongalia County,1,6179,1,2.9,37.4
48453001752,TX,48453001752,-1.672338,-2.0089322484778602,4.000025261499909,48453001752,Texas,Travis County,1,3583,0,0.0,32.7
37183052301,NC,37183052301,-1.469325,-2.002342344666528,3.986903971951117,37183052301,North Carolina,Wake County,1,6024,1,1.53,34.4
13121009402,GA,13121009402,-1.617255,-1.9974197677482302,3.9771025303943963,13121009402,Georgia,Fulton County,1,4073,0,0.1,20.0
18157010500,IN,18157010500,-1.281417,-1.9898020179270484,3.9619346760560528,18157010500,Indiana,Tippecanoe County,1,2021,1,0.0,43.5
42101000901,PA,42101000901,-1.6331,-1.9873732380789804,3.957098683824729,42101000901,Pennsylvania,Philadelphia County,1,2276,0,0.04,24.6
51013103602,VA,51013103602,-1.779832,-1.987007006846417,3.956369473477833,51013103602,Virginia,Arlington County,1,1210,0,0.0,17.9
28087000200,MS,28087000200,-1.672741,-1.964389145072697,3.9113345956094814,28087000200,Mississippi,Lowndes County,1,1379,0,0.0,2.7
42101008701,PA,42101008701,-1.60898,-1.9632532380789804,3.9090728684292726,42101008701,Pennsylvania,Philadelphia County,1,4147,0,0.0,19.4
28071950302,MS,28071950302,-0.717285,-1.9607823743100772,3.904153082059759,28071950302,Mississippi,Lafayette County,0,3904,0,0.0,35.1
22115950704,LA,22115950704,-1.059283,-1.9407296298104737,3.864225660604111,22115950704,Louisiana,Vernon Parish,1,3571,1,0.0,25.5
48453000500,TX,48453000500,-1.60372,-1.9403142484778604,3.8633985865079747,48453000500,Texas,Travis County,1,4518,0,1.7,34.7
25025000703,MA,25025000703,-2.047371,-1.9349353859265865,3.8526886254828914,25025000703,Massachusetts,Suffolk County,1,2791,0,6.16,42.1
26037011200,MI,26037011200,-1.316648,-1.9327785295541653,3.8483940655336206,26037011200,Michigan,Clinton County,1,3321,1,0.0,74.7
39049007820,OH,39049007820,-1.15743,-1.9235575991512706,3.8300340862092517,39049007820,Ohio,Franklin County,1,4095,0,0.0,47.8
22033004013,LA,22033004013,-1.191992,-1.9216597957138757,3.8262553317506613,22033004013,Louisiana,East Baton Rouge Parish,1,3676,0,2.37,32.2
29019001101,MO,29019001101,-1.228604,-1.919398777901237,3.8217533738702456,29019001101,Missouri,Boone County,1,8628,1,1.29,49.9
37051003405,NC,37051003405,-1.381762,-1.914779344666528,3.8125555277773033,37051003405,North Carolina,Cumberland County,1,1975,1,0.0,17.0
